compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1020,1ST AVE BETWEEN CLAY ST AND BROAD ST,1ST AVE,1ST AVE BETWEEN CLAY ST AND BROAD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1021,1ST AVE BETWEEN BROAD ST AND EAGLE ST,1ST AVE,1ST AVE BETWEEN BROAD ST AND EAGLE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1023,1ST AVE BETWEEN WARREN PL AND BAY ST,1ST AVE,1ST AVE BETWEEN WARREN PL AND BAY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,1ST AVE S,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1ST AVE S,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1187,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,1ST AVE S,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1188,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,1ST AVE S,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1189,1ST AVE S BETWEEN S KING ST AND S DEARBORN ST,1ST AVE S,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1190,1ST AVE S BETWEEN S DEARBORN ST AND S CHARLES ST,1ST AVE S,1ST AVE S BETWEEN RAILROAD N WAY S AND RAILROAD S WAY S,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
1200,1ST AVE S BETWEEN S CHARLES ST AND S ROYAL BROUGHAM WAY,1ST AVE S,1ST AVE S BETWEEN RAILROAD S WAY S AND S ROYAL BROUGHAM WAY,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2748,2ND AVE BETWEEN YESLER WAY AND JAMES ST,2ND AVE,2ND AVE BETWEEN YESLER WAY AND JAMES ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
2749,2ND AVE BETWEEN JAMES ST AND CHERRY ST,2ND AVE,2ND AVE BETWEEN JAMES ST AND CHERRY ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
