compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
11874,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,MINOR AVE,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,0.1286212171806346,0.1583234554597701,0.13585416666666666,0.19541666666666666,1,Consistently low occupancy streets
11875,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,MINOR AVE,MINOR AVE BETWEEN UNIVERSITY ST AND UNION ST,0.09995377109691089,0.11534445398922281,0.1343660714285714,0.13968750000000002,1,Consistently low occupancy streets
12041,OLIVE WAY BETWEEN 3RD AVE AND 4TH AVE,OLIVE WAY,OLIVE WAY BETWEEN 3RD AVE AND 4TH AVE,0.1806875,0.34786324786324785,0.32583333333333336,0.46375,0,Night/weekend intensive streets
12042,OLIVE WAY BETWEEN 4TH AVE AND 5TH AVE,OLIVE WAY,OLIVE WAY BETWEEN 4TH AVE AND 5TH AVE,0.5623177083333334,0.11433333333333333,0.6924666666666667,0.7423333333333333,2,Consistently high occupancy streets
12043,OLIVE WAY BETWEEN 5TH AVE AND 6TH AVE,OLIVE WAY,OLIVE WAY BETWEEN 5TH AVE AND 6TH AVE,0.5155361757105943,0.19541666666666666,0.5088333333333334,0.45125000000000004,0,Night/weekend intensive streets
12044,OLIVE WAY BETWEEN 6TH AVE AND 7TH AVE,OLIVE WAY,OLIVE WAY BETWEEN 6TH AVE AND 7TH AVE,0.362995337995338,0.23899122807017545,0.34308333333333335,0.4945833333333334,0,Night/weekend intensive streets
12045,OLIVE WAY BETWEEN 7TH AVE AND HOWELL ST,OLIVE WAY,OLIVE WAY BETWEEN 7TH AVE AND HOWELL ST,0.5266200466200467,0.2785,0.32506666666666667,0.37233333333333335,0,Night/weekend intensive streets
12200,PIKE ST BETWEEN 4TH AVE AND 5TH AVE,PIKE ST,PIKE ST BETWEEN 4TH AVE AND 5TH AVE,0.5232569444444445,0.5782700421940928,0.5651111111111111,0.6763888888888889,2,Consistently high occupancy streets
12211,PINE ST BETWEEN PIKE PL AND POST AL,PINE ST,PINE ST BETWEEN PIKE PL AND POST AL,0.7428876325895469,0.8587719298245614,0.6479166666666667,0.6216666666666667,2,Consistently high occupancy streets
12212,PINE ST BETWEEN POST AL AND 1ST AVE,PINE ST,PINE ST BETWEEN POST AL AND 1ST AVE,0.062206572769953054,0.000462962962962963,0.04055555555555556,0.0,1,Consistently low occupancy streets
12768,SENECA ST BETWEEN ALASKAN WAY AND WESTERN AVE,SENECA ST,SENECA ST BETWEEN ALASKAN WAY AND WESTERN AVE,0.466,0.43569078947368417,0.47850000000000004,0.6572916666666666,2,Consistently high occupancy streets
12769,SENECA ST BETWEEN WESTERN AVE AND POST AVE,SENECA ST,SENECA ST BETWEEN WESTERN AVE AND POST AVE,0.4650436507936508,0.407977207977208,0.6212222222222222,0.546111111111111,2,Consistently high occupancy streets
12771,SENECA ST BETWEEN 1ST AVE AND 2ND AVE,SENECA ST,SENECA ST BETWEEN 1ST AVE AND 2ND AVE,0.47317638888888885,0.6204219409282701,0.6354333333333334,0.8125555555555556,2,Consistently high occupancy streets
12772,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,SENECA ST,SENECA ST BETWEEN 2ND AVE AND 3RD AVE,0.49743478260869567,0.6565624999999999,0.6235833333333334,0.9487500000000001,2,Consistently high occupancy streets
12773,SENECA ST BETWEEN 3RD AVE AND 4TH AVE,SENECA ST,SENECA ST BETWEEN 3RD AVE AND 4TH AVE,0.5096263888888889,0.48879344986939927,0.3449444444444444,0.6355555555555555,2,Consistently high occupancy streets
12775,SENECA ST BETWEEN 5TH AVE AND 6TH AVE,SENECA ST,SENECA ST BETWEEN 5TH AVE AND 6TH AVE,0.1983371212121212,0.17537878787878786,0.23403030303030303,0.3110606060606061,1,Consistently low occupancy streets
12778,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,SENECA ST,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,0.24282156332491286,0.43409248044953763,0.19213333333333335,0.38322222222222224,0,Night/weekend intensive streets
12779,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,SENECA ST,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,0.2799399649624839,0.367987586238199,0.25801111111111114,0.45461111111111113,0,Night/weekend intensive streets
12780,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,SENECA ST,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,0.16424892205231753,0.20935894053247775,0.14975925925925926,0.22171296296296297,1,Consistently low occupancy streets
12781,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,SENECA ST,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,0.10291414306107058,0.2475926443947144,0.1846031746031746,0.3551587301587302,1,Consistently low occupancy streets
